Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Hana,android,browseTitles,,,2021-11-02 19:50:52
Hana,android,browseTitles,,,2021-11-02 19:50:39
Hana,android,profilesGate,,,2021-11-02 19:50:36
Hana,android,playback,,,2021-11-02 11:14:44
Hana,android,browseTitles,,,2021-11-02 11:14:44
Hana,android,playback,,,2021-11-02 10:49:48
Hana,android,browseTitles,,,2021-11-02 10:49:47
Hana,android,browseTitles,,,2021-11-01 11:43:06
Hana,android,playback,,,2021-11-01 11:43:06
Hana,android,playback,,,2021-11-01 11:43:03
Hana,android,browseTitles,,,2021-11-01 11:43:03
Hana,android,playback,,,2021-11-01 11:42:36
Hana,android,browseTitles,,,2021-11-01 11:42:35
Hana,android,playback,,,2021-11-01 09:57:06
Hana,android,browseTitles,,,2021-11-01 09:57:06
Hana,android,profilesGate,,,2021-11-01 09:56:05
Hana,android,browseTitles,,,2021-11-01 09:56:05
Hana,android,search,,,2021-10-31 18:21:07
Hana,android,browseTitles,,,2021-10-31 18:21:07
Hana,android,movieDetails,,,2021-10-31 18:21:04
Hana,android,search,,,2021-10-31 18:21:04
Hana,android,search,,,2021-10-31 18:20:43
Hana,android,movieDetails,,,2021-10-31 18:20:43
Hana,android,search,,,2021-10-31 18:20:38
Hana,android,movieDetails,,,2021-10-31 18:20:38
Hana,android,movieDetails,,,2021-10-31 18:18:19
Hana,android,search,,,2021-10-31 18:18:18
Hana,android,search,,,2021-10-31 18:17:46
Hana,android,browseTitles,,,2021-10-31 18:17:45
Hana,android,browseTitles,,,2021-10-31 18:17:44
Hana,android,profilesGate,,,2021-10-31 18:17:43
Hana,android,searchSuggestionTitleResults,,,2021-10-29 19:41:35
Hana,android,search,,,2021-10-29 19:41:34
Hana,android,search,,,2021-10-29 19:40:52
Hana,android,browseTitles,,,2021-10-29 19:40:51
Hana,android,browseTitles,,,2021-10-29 19:40:51
Hana,android,profilesGate,,,2021-10-29 19:40:49
Hana,android,playback,,,2021-10-27 18:28:22
Hana,android,browseTitles,,,2021-10-27 18:28:21
Hana,android,browseTitles,,,2021-10-27 18:28:01
Hana,android,profilesGate,,,2021-10-27 18:27:59
Hana,android,playback,,,2021-10-27 16:46:22
Hana,android,movieDetails,,,2021-10-27 16:46:20
Hana,android,playback,,,2021-10-27 15:46:19
Hana,android,movieDetails,,,2021-10-27 15:46:15
